game_id,ai1_name,ai2_name,winner,total_moves,duration_seconds
0,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)",33,9.915
1,"Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",31,5.297
2,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)",33,10.759
3,"Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",31,9.026
4,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)",33,17.921
5,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)",33,9.266
6,"Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=defensive_heuristic)",29,6.53
7,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)",33,10.069
8,"Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=defensive_heuristic)",29,7.491
9,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)",33,12.47
10,"Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",33,12.253
11,"Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",28,12.26
12,"Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",33,10.152
13,"Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",28,10.657
14,"Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",33,9.855
15,"Minimax(depth=3, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=3, heuristic=balanced_heuristic)",31,6.087
16,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=3, heuristic=balanced_heuristic)","Minimax(depth=3, heuristic=balanced_heuristic)",30,2.169
17,"Minimax(depth=3, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=3, heuristic=balanced_heuristic)",31,5.709
18,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=3, heuristic=balanced_heuristic)","Minimax(depth=3, heuristic=balanced_heuristic)",30,2.231
19,"Minimax(depth=3, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=3, heuristic=balanced_heuristic)",31,5.826
