game_id,ai1_name,ai1_type,ai1_depth,ai1_heuristic,ai2_name,ai2_type,ai2_depth,ai2_heuristic,starting_ai,winner,is_draw,total_moves,duration_seconds
0,"Minimax(depth=5, heuristic=balanced_heuristic)",MinimaxAI,5,balanced_heuristic,"Minimax(depth=5, heuristic=aggressive_heuristic)",MinimaxAI,5,aggressive_heuristic,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)",False,33,9.845
1,"Minimax(depth=5, heuristic=aggressive_heuristic)",MinimaxAI,5,aggressive_heuristic,"Minimax(depth=5, heuristic=balanced_heuristic)",MinimaxAI,5,balanced_heuristic,"Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",False,31,4.881
2,"Minimax(depth=5, heuristic=balanced_heuristic)",MinimaxAI,5,balanced_heuristic,"Minimax(depth=5, heuristic=aggressive_heuristic)",MinimaxAI,5,aggressive_heuristic,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)",False,33,20.102
3,"Minimax(depth=5, heuristic=aggressive_heuristic)",MinimaxAI,5,aggressive_heuristic,"Minimax(depth=5, heuristic=balanced_heuristic)",MinimaxAI,5,balanced_heuristic,"Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",False,31,15.93
4,"Minimax(depth=5, heuristic=balanced_heuristic)",MinimaxAI,5,balanced_heuristic,"Minimax(depth=5, heuristic=aggressive_heuristic)",MinimaxAI,5,aggressive_heuristic,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)",False,33,25.238
5,"Minimax(depth=5, heuristic=aggressive_heuristic)",MinimaxAI,5,aggressive_heuristic,"Minimax(depth=5, heuristic=balanced_heuristic)",MinimaxAI,5,balanced_heuristic,"Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",False,31,12.037
6,"Minimax(depth=5, heuristic=balanced_heuristic)",MinimaxAI,5,balanced_heuristic,"Minimax(depth=5, heuristic=aggressive_heuristic)",MinimaxAI,5,aggressive_heuristic,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)",False,33,13.773
7,"Minimax(depth=5, heuristic=aggressive_heuristic)",MinimaxAI,5,aggressive_heuristic,"Minimax(depth=5, heuristic=balanced_heuristic)",MinimaxAI,5,balanced_heuristic,"Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",False,31,5.781
8,"Minimax(depth=5, heuristic=balanced_heuristic)",MinimaxAI,5,balanced_heuristic,"Minimax(depth=5, heuristic=aggressive_heuristic)",MinimaxAI,5,aggressive_heuristic,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)",False,33,11.895
9,"Minimax(depth=5, heuristic=aggressive_heuristic)",MinimaxAI,5,aggressive_heuristic,"Minimax(depth=5, heuristic=balanced_heuristic)",MinimaxAI,5,balanced_heuristic,"Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",False,31,6.451
10,"Minimax(depth=5, heuristic=balanced_heuristic)",MinimaxAI,5,balanced_heuristic,"Minimax(depth=5, heuristic=defensive_heuristic)",MinimaxAI,5,defensive_heuristic,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)",False,33,12.343
11,"Minimax(depth=5, heuristic=defensive_heuristic)",MinimaxAI,5,defensive_heuristic,"Minimax(depth=5, heuristic=balanced_heuristic)",MinimaxAI,5,balanced_heuristic,"Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=defensive_heuristic)",False,29,8.069
12,"Minimax(depth=5, heuristic=balanced_heuristic)",MinimaxAI,5,balanced_heuristic,"Minimax(depth=5, heuristic=defensive_heuristic)",MinimaxAI,5,defensive_heuristic,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)",False,33,11.796
13,"Minimax(depth=5, heuristic=defensive_heuristic)",MinimaxAI,5,defensive_heuristic,"Minimax(depth=5, heuristic=balanced_heuristic)",MinimaxAI,5,balanced_heuristic,"Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=defensive_heuristic)",False,29,8.533
14,"Minimax(depth=5, heuristic=balanced_heuristic)",MinimaxAI,5,balanced_heuristic,"Minimax(depth=5, heuristic=defensive_heuristic)",MinimaxAI,5,defensive_heuristic,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)",False,33,12.258
15,"Minimax(depth=5, heuristic=defensive_heuristic)",MinimaxAI,5,defensive_heuristic,"Minimax(depth=5, heuristic=balanced_heuristic)",MinimaxAI,5,balanced_heuristic,"Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=defensive_heuristic)",False,29,8.734
16,"Minimax(depth=5, heuristic=balanced_heuristic)",MinimaxAI,5,balanced_heuristic,"Minimax(depth=5, heuristic=defensive_heuristic)",MinimaxAI,5,defensive_heuristic,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)",False,33,15.597
17,"Minimax(depth=5, heuristic=defensive_heuristic)",MinimaxAI,5,defensive_heuristic,"Minimax(depth=5, heuristic=balanced_heuristic)",MinimaxAI,5,balanced_heuristic,"Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=defensive_heuristic)",False,29,17.576
