game_id,move_num,ai_name,col_chosen,score,nodes_evaluated,time_ms
0,0,"Minimax(depth=5, heuristic=balanced_heuristic)",3,17,657,198.35
0,1,"Minimax(depth=5, heuristic=aggressive_heuristic)",3,24,655,173.06
0,2,"Minimax(depth=5, heuristic=balanced_heuristic)",3,21,1626,539.13
0,3,"Minimax(depth=5, heuristic=aggressive_heuristic)",3,36,1046,311.91
0,4,"Minimax(depth=5, heuristic=balanced_heuristic)",2,28,2916,896.99
0,5,"Minimax(depth=5, heuristic=aggressive_heuristic)",4,36,2569,909.38
0,6,"Minimax(depth=5, heuristic=balanced_heuristic)",4,32,3374,944.74
0,7,"Minimax(depth=5, heuristic=aggressive_heuristic)",4,60,2051,584.15
0,8,"Minimax(depth=5, heuristic=balanced_heuristic)",2,34,3106,777.34
0,9,"Minimax(depth=5, heuristic=aggressive_heuristic)",4,78,2114,601.75
0,10,"Minimax(depth=5, heuristic=balanced_heuristic)",4,32,2529,670.09
0,11,"Minimax(depth=5, heuristic=aggressive_heuristic)",0,92,1680,448.8
0,12,"Minimax(depth=5, heuristic=balanced_heuristic)",3,29,1095,294.75
0,13,"Minimax(depth=5, heuristic=aggressive_heuristic)",3,84,933,303.87
0,14,"Minimax(depth=5, heuristic=balanced_heuristic)",5,39,926,253.54
0,15,"Minimax(depth=5, heuristic=aggressive_heuristic)",5,108,948,287.61
0,16,"Minimax(depth=5, heuristic=balanced_heuristic)",6,33,1622,449.51
0,17,"Minimax(depth=5, heuristic=aggressive_heuristic)",4,104,453,115.67
0,18,"Minimax(depth=5, heuristic=balanced_heuristic)",0,36,701,184.7
0,19,"Minimax(depth=5, heuristic=aggressive_heuristic)",0,104,422,105.09
0,20,"Minimax(depth=5, heuristic=balanced_heuristic)",0,38,734,184.34
0,21,"Minimax(depth=5, heuristic=aggressive_heuristic)",0,94,358,72.23
0,22,"Minimax(depth=5, heuristic=balanced_heuristic)",0,41,658,165.22
0,23,"Minimax(depth=5, heuristic=aggressive_heuristic)",6,88,239,49.16
0,24,"Minimax(depth=5, heuristic=balanced_heuristic)",1,41,375,83.85
0,25,"Minimax(depth=5, heuristic=aggressive_heuristic)",6,100,226,46.09
0,26,"Minimax(depth=5, heuristic=balanced_heuristic)",6,42,297,64.7
0,27,"Minimax(depth=5, heuristic=aggressive_heuristic)",5,78,151,41.8
0,28,"Minimax(depth=5, heuristic=balanced_heuristic)",5,41,281,57.12
0,29,"Minimax(depth=5, heuristic=aggressive_heuristic)",5,64,120,37.51
0,30,"Minimax(depth=5, heuristic=balanced_heuristic)",5,10000000,168,42.18
0,31,"Minimax(depth=5, heuristic=aggressive_heuristic)",2,-10000000,62,12.22
0,32,"Minimax(depth=5, heuristic=balanced_heuristic)",2,10000000,21,4.1
1,0,"Minimax(depth=5, heuristic=aggressive_heuristic)",3,30,657,156.02
1,1,"Minimax(depth=5, heuristic=balanced_heuristic)",3,9,1367,508.58
1,2,"Minimax(depth=5, heuristic=aggressive_heuristic)",3,36,1711,523.44
1,3,"Minimax(depth=5, heuristic=balanced_heuristic)",2,16,1480,473.61
1,4,"Minimax(depth=5, heuristic=aggressive_heuristic)",3,66,981,222.45
1,5,"Minimax(depth=5, heuristic=balanced_heuristic)",2,18,784,198.89
1,6,"Minimax(depth=5, heuristic=aggressive_heuristic)",3,90,751,232.1
1,7,"Minimax(depth=5, heuristic=balanced_heuristic)",3,22,241,85.77
1,8,"Minimax(depth=5, heuristic=aggressive_heuristic)",2,96,384,86.91
1,9,"Minimax(depth=5, heuristic=balanced_heuristic)",0,19,1516,448.76
1,10,"Minimax(depth=5, heuristic=aggressive_heuristic)",2,122,580,164.74
1,11,"Minimax(depth=5, heuristic=balanced_heuristic)",5,16,1251,355.8
1,12,"Minimax(depth=5, heuristic=aggressive_heuristic)",2,152,354,80.84
1,13,"Minimax(depth=5, heuristic=balanced_heuristic)",2,11,267,78.59
1,14,"Minimax(depth=5, heuristic=aggressive_heuristic)",5,156,975,290.59
1,15,"Minimax(depth=5, heuristic=balanced_heuristic)",0,9,957,225.83
1,16,"Minimax(depth=5, heuristic=aggressive_heuristic)",5,172,762,165.88
1,17,"Minimax(depth=5, heuristic=balanced_heuristic)",5,10,759,266.53
1,18,"Minimax(depth=5, heuristic=aggressive_heuristic)",5,176,671,157.43
1,19,"Minimax(depth=5, heuristic=balanced_heuristic)",5,8,634,195.84
1,20,"Minimax(depth=5, heuristic=aggressive_heuristic)",4,184,289,96.62
1,21,"Minimax(depth=5, heuristic=balanced_heuristic)",0,5,173,41.27
1,22,"Minimax(depth=5, heuristic=aggressive_heuristic)",0,186,140,47.68
1,23,"Minimax(depth=5, heuristic=balanced_heuristic)",6,0,191,73.74
1,24,"Minimax(depth=5, heuristic=aggressive_heuristic)",6,190,174,37.74
1,25,"Minimax(depth=5, heuristic=balanced_heuristic)",0,-13,176,31.42
1,26,"Minimax(depth=5, heuristic=aggressive_heuristic)",0,204,128,25.19
1,27,"Minimax(depth=5, heuristic=balanced_heuristic)",1,-39,51,7.89
1,28,"Minimax(depth=5, heuristic=aggressive_heuristic)",1,10000000,36,6.36
1,29,"Minimax(depth=5, heuristic=balanced_heuristic)",4,-10000000,33,4.98
1,30,"Minimax(depth=5, heuristic=aggressive_heuristic)",4,10000000,6,1.11
2,0,"Minimax(depth=5, heuristic=balanced_heuristic)",3,17,657,150.46
2,1,"Minimax(depth=5, heuristic=aggressive_heuristic)",3,24,655,198.85
2,2,"Minimax(depth=5, heuristic=balanced_heuristic)",3,21,1626,453.14
2,3,"Minimax(depth=5, heuristic=aggressive_heuristic)",3,36,1046,359.07
2,4,"Minimax(depth=5, heuristic=balanced_heuristic)",2,28,2916,795.97
2,5,"Minimax(depth=5, heuristic=aggressive_heuristic)",4,36,2569,879.66
2,6,"Minimax(depth=5, heuristic=balanced_heuristic)",4,32,3374,824.66
2,7,"Minimax(depth=5, heuristic=aggressive_heuristic)",4,60,2051,529.4
2,8,"Minimax(depth=5, heuristic=balanced_heuristic)",2,34,3106,889.92
2,9,"Minimax(depth=5, heuristic=aggressive_heuristic)",4,78,2114,670.23
2,10,"Minimax(depth=5, heuristic=balanced_heuristic)",4,32,2529,798.31
2,11,"Minimax(depth=5, heuristic=aggressive_heuristic)",0,92,1680,455.4
2,12,"Minimax(depth=5, heuristic=balanced_heuristic)",3,29,1095,326.71
2,13,"Minimax(depth=5, heuristic=aggressive_heuristic)",3,84,933,312.09
2,14,"Minimax(depth=5, heuristic=balanced_heuristic)",5,39,926,428.1
2,15,"Minimax(depth=5, heuristic=aggressive_heuristic)",5,108,948,369.7
2,16,"Minimax(depth=5, heuristic=balanced_heuristic)",6,33,1622,570.82
2,17,"Minimax(depth=5, heuristic=aggressive_heuristic)",4,104,453,117.6
2,18,"Minimax(depth=5, heuristic=balanced_heuristic)",0,36,701,210.73
2,19,"Minimax(depth=5, heuristic=aggressive_heuristic)",0,104,422,128.99
2,20,"Minimax(depth=5, heuristic=balanced_heuristic)",0,38,734,272.93
2,21,"Minimax(depth=5, heuristic=aggressive_heuristic)",0,94,358,147.9
2,22,"Minimax(depth=5, heuristic=balanced_heuristic)",0,41,658,266.74
2,23,"Minimax(depth=5, heuristic=aggressive_heuristic)",6,88,239,81.07
2,24,"Minimax(depth=5, heuristic=balanced_heuristic)",1,41,375,90.6
2,25,"Minimax(depth=5, heuristic=aggressive_heuristic)",6,100,226,53.47
2,26,"Minimax(depth=5, heuristic=balanced_heuristic)",6,42,297,100.91
2,27,"Minimax(depth=5, heuristic=aggressive_heuristic)",5,78,151,48.12
2,28,"Minimax(depth=5, heuristic=balanced_heuristic)",5,41,281,79.22
2,29,"Minimax(depth=5, heuristic=aggressive_heuristic)",5,64,120,44.43
2,30,"Minimax(depth=5, heuristic=balanced_heuristic)",5,10000000,168,56.61
2,31,"Minimax(depth=5, heuristic=aggressive_heuristic)",2,-10000000,62,24.97
2,32,"Minimax(depth=5, heuristic=balanced_heuristic)",2,10000000,21,16.87
3,0,"Minimax(depth=5, heuristic=aggressive_heuristic)",3,30,657,228.37
3,1,"Minimax(depth=5, heuristic=balanced_heuristic)",3,9,1367,342.29
3,2,"Minimax(depth=5, heuristic=aggressive_heuristic)",3,36,1711,546.86
3,3,"Minimax(depth=5, heuristic=balanced_heuristic)",2,16,1480,515.31
3,4,"Minimax(depth=5, heuristic=aggressive_heuristic)",3,66,981,288.43
3,5,"Minimax(depth=5, heuristic=balanced_heuristic)",2,18,784,328.22
3,6,"Minimax(depth=5, heuristic=aggressive_heuristic)",3,90,751,322.73
3,7,"Minimax(depth=5, heuristic=balanced_heuristic)",3,22,241,83.42
3,8,"Minimax(depth=5, heuristic=aggressive_heuristic)",2,96,384,205.34
3,9,"Minimax(depth=5, heuristic=balanced_heuristic)",0,19,1516,888.85
3,10,"Minimax(depth=5, heuristic=aggressive_heuristic)",2,122,580,380.51
3,11,"Minimax(depth=5, heuristic=balanced_heuristic)",5,16,1251,776.37
3,12,"Minimax(depth=5, heuristic=aggressive_heuristic)",2,152,354,227.85
